ticker,start_date,end_date,timeframe,length,loss,accuracy
AAPL,2023-01-01,2024-01-01,1h,24,0.49607,0.73547
AAPL,2023-12-01,2024-01-01,1h,8,0.54133,0.74074
AAPL,2023-01-01,2023-02-01,1h,8,0.58946,0.66667
AAPL,2023-02-01,2023-03-01,1h,8,0.65514,0.56
AAPL,2023-03-01,2023-04-01,1h,8,0.39661,0.80645
AAPL,2023-04-01,2023-05-01,1h,8,0.77713,0.36
AAPL,2023-05-01,2023-06-01,1h,8,0.67194,0.66667
AAPL,2023-06-01,2023-07-01,1h,8,0.57397,0.67857
AAPL,2023-07-01,2023-08-01,1h,8,0.69288,0.57692
AAPL,2023-08-01,2023-09-01,1h,8,0.62469,0.67742
AAPL,2023-09-01,2023-10-01,1h,8,0.6318,0.62963
AAPL,2023-10-01,2023-11-01,1h,8,0.59714,0.7
AAPL,2023-11-01,2023-12-01,1h,8,0.53341,0.81481
AAPL,2023-12-01,2024-01-01,1h,8,0.5887,0.62963
AAPL,2023-12-01,2024-01-01,1h,8,0.61766,0.62963
AAPL,2023-12-01,2024-01-01,1h,8,0.65769,0.51852
AAPL,2023-12-01,2024-01-01,1h,8,0.58281,0.66667
AAPL,2023-12-01,2024-01-01,1h,8,0.62802,0.66667
AAPL,2023-12-01,2024-01-01,1h,8,0.64443,0.66667
AAPL,2023-12-01,2024-01-01,1h,8,0.67731,0.62963
AAPL,2023-12-01,2024-01-01,1h,8,0.59634,0.84375
AAPL,2023-01-01,2023-02-01,1h,8,0.82161,0.5625
AAPL,2023-02-01,2023-03-01,1h,8,0.68182,0.52
AAPL,2023-03-01,2023-04-01,1h,8,0.38762,0.81132
AAPL,2023-04-01,2023-05-01,1h,8,0.69548,0.64
